text;labels
Stosunki miêdzy Rzecz¹pospolit¹ Polsk¹ a Koœcio³em Katolickim okreœlaj¹ umowa miêdzynarodowa zawarta ze Stolic¹ Apostolsk¹ i ustawy;konstytucja
Stosunki miêdzy Rzecz¹pospolit¹ Polsk¹ a innymi koœcio³ami oraz zwi¹zkami wyznaniowymi okreœlaj¹ ustawy uchwalone na podstawie umów zawartych przez Radê Ministrów z ich w³aœciwymi przedstawicielami;konstytucja
Si³y Zbrojne Rzeczypospolitej Polskiej s³u¿¹ ochronie niepodleg³oœci pañstwa i niepodzielnoœci jego terytorium oraz zapewnieniu bezpieczeñstwa i nienaruszalnoœci jego granic;konstytucja
Si³y Zbrojne zachowuj¹ neutralnoœæ w sprawach politycznych oraz podlegaj¹ cywilnej i demokratycznej kontroli;konstytucja
W Rzeczypospolitej Polskiej jêzykiem urzêdowym jest jêzyk polski;konstytucja
Przepis ten nie narusza praw mniejszoœci narodowych wynikaj¹cych z ratyfikowanych umów miêdzynarodowych;konstytucja
God³em Rzeczypospolitej Polskiej jest wizerunek or³a bia³ego w koronie w czerwonym polu;konstytucja
Barwami Rzeczypospolitej Polskiej s¹ kolory bia³y i czerwony;konstytucja
Hymnem Rzeczypospolitej Polskiej jest Mazurek D¹browskiego;konstytucja
God³o, barwy i hymn Rzeczypospolitej Polskiej podlegaj¹ ochronie prawnej;konstytucja
Szczegó³y dotycz¹ce god³a, barw i hymnu okreœla ustawa;konstytucja
Stolic¹ Rzeczypospolitej Polskiej jest Warszawa;konstytucja
Przyrodzona i niezbywalna godnoœæ cz³owieka stanowi Ÿród³o wolnoœci i praw cz³owieka i obywatela;konstytucja
Jest ona nienaruszalna, a jej poszanowanie i ochrona jest obowi¹zkiem w³adz publicznych;konstytucja
Wolnoœæ cz³owieka podlega ochronie prawnej;konstytucja
Ka¿dy jest obowi¹zany szanowaæ wolnoœci i prawa innych;konstytucja
Nikogo nie wolno zmuszaæ do czynienia tego, czego prawo mu nie nakazuje;konstytucja
Ograniczenia w zakresie korzystania z konstytucyjnych wolnoœci i praw mog¹ byæ ustanawiane tylko w ustawie i tylko wtedy, gdy s¹ konieczne w demokratycznym pañstwie dla jego bezpieczeñstwa lub porz¹dku publicznego, b¹dŸ dla ochrony œrodowiska, zdrowia i moralnoœci publicznej, albo wolnoœci i praw innych osób;konstytucja
Ograniczenia te nie mog¹ naruszaæ istoty wolnoœci i praw;konstytucja
Wszyscy s¹ wobec prawa równi;konstytucja
Wszyscy maj¹ prawo do równego traktowania przez w³adze publiczne;konstytucja
Nikt nie mo¿e byæ dyskryminowany w ¿yciu politycznym, spo³ecznym lub gospodarczym z jakiejkolwiek przyczyny;konstytucja
Kobieta i mê¿czyzna w Rzeczypospolitej Polskiej maj¹ równe prawa w ¿yciu rodzinnym, politycznym, spo³ecznym i gospodarczym;konstytucja
Kobieta i mê¿czyzna maj¹ w szczególnoœci równe prawo do kszta³cenia, zatrudnienia i awansów, do jednakowego wynagradzania za pracê jednakowej wartoœci, do zabezpieczenia spo³ecznego oraz do zajmowania stanowisk, pe³nienia funkcji oraz uzyskiwania godnoœci publicznych i odznaczeñ;konstytucja
Obywatelstwo polskie nabywa siê przez urodzenie z rodziców bêd¹cych obywatelami polskimi;konstytucja
Inne przypadki nabycia obywatelstwa polskiego okreœla ustawa;konstytucja
Obywatel polski nie mo¿e utraciæ obywatelstwa polskiego, chyba ¿e sam siê go zrzeknie;konstytucja
Rzeczpospolita Polska zapewnia obywatelom polskim nale¿¹cym do mniejszoœci narodowych i etnicznych wolnoœæ zachowania i rozwoju w³asnego jêzyka, zachowania obyczajów i tradycji oraz rozwoju w³asnej kultury;konstytucja
Mniejszoœci narodowe i etniczne maj¹ prawo do tworzenia w³asnych instytucji edukacyjnych, kulturalnych i instytucji s³u¿¹cych ochronie to¿samoœci religijnej oraz do uczestnictwa w rozstrzyganiu spraw dotycz¹cych ich to¿samoœci kulturowej;konstytucja
Podczas pobytu za granic¹ obywatel polski ma prawo do opieki ze strony Rzeczypospolitej Polskiej;konstytucja
Kto znajduje siê pod w³adz¹ Rzeczypospolitej Polskiej, korzysta z wolnoœci i praw zapewnionych w Konstytucji;konstytucja
Wyj¹tki od tej zasady, odnosz¹ce siê do cudzoziemców, okreœla ustawa;konstytucja
Wolnoœci i prawa osobisteArt;konstytucja
Rzeczpospolita Polska zapewnia ka¿demu cz³owiekowi prawn¹ ochronê ¿ycia;konstytucja
Nikt nie mo¿e byæ poddany eksperymentom naukowym, w tym medycznym, bez dobrowolnie wyra¿onej zgody;konstytucja
Nikt nie mo¿e byæ poddany torturom ani okrutnemu, nieludzkiemu lub poni¿aj¹cemu traktowaniu i karaniu;konstytucja
Zakazuje siê stosowania kar cielesnych;konstytucja
Ka¿demu zapewnia siê nietykalnoœæ osobist¹ i wolnoœæ osobist¹;konstytucja
Pozbawienie lub ograniczenie wolnoœci mo¿e nast¹piæ tylko na zasadach i w trybie okreœlonych w ustawie;konstytucja
Ka¿dy pozbawiony wolnoœci nie na podstawie wyroku s¹dowego ma prawo odwo³ania siê do s¹du w celu niezw³ocznego ustalenia legalnoœci tego pozbawienia;konstytucja
O pozbawieniu wolnoœci powiadamia siê niezw³ocznie rodzinê lub osobê wskazan¹ przez pozbawionego wolnoœci;konstytucja
Ka¿dy zatrzymany powinien byæ niezw³ocznie i w sposób zrozumia³y dla niego poinformowany o przyczynach zatrzymania;konstytucja
Powinien on byæ w ci¹gu 48 godzin od chwili zatrzymania przekazany do dyspozycji s¹du;konstytucja
Zatrzymanego nale¿y zwolniæ, je¿eli w ci¹gu 24 godzin od przekazania do dyspozycji s¹du nie zostanie mu dorêczone postanowienie s¹du o tymczasowym aresztowaniu wraz z przedstawionymi zarzutami;konstytucja
Ka¿dy pozbawiony wolnoœci powinien byæ traktowany w sposób humanitarny;konstytucja
Ka¿dy bezprawnie pozbawiony wolnoœci ma prawo do odszkodowania;konstytucja
Odpowiedzialnoœci karnej podlega ten tylko, kto dopuœci³ siê czynu zabronionego pod groŸb¹ kary przez ustawê obowi¹zuj¹c¹ w czasie jego pope³nienia;konstytucja
Zasada ta nie stoi na przeszkodzie ukaraniu za czyn, który w czasie jego pope³nienia stanowi³ przestêpstwo w myœl prawa miêdzynarodowego;konstytucja
Ka¿dy, przeciw komu prowadzone jest postêpowanie karne, ma prawo do obrony we wszystkich stadiach postêpowania;konstytucja
Mo¿e on w szczególnoœci wybraæ obroñcê lub na zasadach okreœlonych w ustawie korzystaæ z obroñcy z urzêdu;konstytucja
Ka¿dego uwa¿a siê za niewinnego, dopóki jego wina nie zostanie stwierdzona prawomocnym wyrokiem s¹du;konstytucja
Zbrodnie wojenne i zbrodnie przeciwko ludzkoœci nie podlegaj¹ przedawnieniu;konstytucja
Bieg przedawnienia w stosunku do przestêpstw, nie œciganych z przyczyn politycznych, pope³nionych przez funkcjonariuszy publicznych lub na ich zlecenie, ulega zawieszeniu do czasu ustania tych przyczyn;konstytucja
Ka¿dy ma prawo do sprawiedliwego i jawnego rozpatrzenia sprawy bez nieuzasadnionej zw³oki przez w³aœciwy, niezale¿ny, bezstronny i niezawis³y s¹d;konstytucja
Wy³¹czenie jawnoœci rozprawy mo¿e nast¹piæ ze wzglêdu na moralnoœæ, bezpieczeñstwo pañstwa i porz¹dek publiczny oraz ze wzglêdu na ochronê ¿ycia prywatnego stron lub inny wa¿ny interes prywatny;konstytucja
Wyrok og³aszany jest publicznie;konstytucja
Przepadek rzeczy mo¿e nast¹piæ tylko w przypadkach okreœlonych w ustawie i tylko na podstawie prawomocnego orzeczenia s¹du;konstytucja
Ka¿dy ma prawo do ochrony prawnej ¿ycia prywatnego, rodzinnego, czci i dobrego imienia oraz do decydowania o swoim ¿yciu osobistym;konstytucja
Rodzice maj¹ prawo do wychowania dzieci zgodnie z w³asnymi przekonaniami;konstytucja
Wychowanie to powinno uwzglêdniaæ stopieñ dojrza³oœci dziecka, a tak¿e wolnoœæ jego sumienia i wyznania oraz jego przekonania;konstytucja
Ograniczenie lub pozbawienie praw rodzicielskich mo¿e nast¹piæ tylko w przypadkach okreœlonych w ustawie i tylko na podstawie prawomocnego orzeczenia s¹du;konstytucja
Zapewnia siê wolnoœæ i ochronê tajemnicy komunikowania siê;konstytucja
Ich ograniczenie mo¿e nast¹piæ jedynie w przypadkach okreœlonych w ustawie i w sposób w niej okreœlony;konstytucja
Zapewnia siê nienaruszalnoœæ mieszkania;konstytucja
Przeszukanie mieszkania, pomieszczenia lub pojazdu mo¿e nast¹piæ jedynie w przypadkach okreœlonych w ustawie i w sposób w niej okreœlony;konstytucja
Nikt nie mo¿e byæ obowi¹zany inaczej ni¿ na podstawie ustawy do ujawniania informacji dotycz¹cych jego osoby;konstytucja
W³adze publiczne nie mog¹ pozyskiwaæ, gromadziæ i udostêpniaæ innych informacji o obywatelach ni¿ niezbêdne w demokratycznym pañstwie prawnym;konstytucja
Ka¿dy ma prawo dostêpu do dotycz¹cych go urzêdowych dokumentów i zbiorów danych;konstytucja
Ograniczenie tego prawa mo¿e okreœliæ ustawa;konstytucja
Ka¿dy ma prawo do ¿¹dania sprostowania oraz usuniêcia informacji nieprawdziwych, niepe³nych lub zebranych w sposób sprzeczny z ustaw¹;konstytucja
Zasady i tryb gromadzenia oraz udostêpniania informacji okreœla ustawa;konstytucja
Ka¿demu zapewnia siê wolnoœæ poruszania siê po terytorium Rzeczypospolitej Polskiej oraz wyboru miejsca zamieszkania i pobytu;konstytucja
Ka¿dy mo¿e swobodnie opuœciæ terytorium Rzeczypospolitej Polskiej;konstytucja
Wolnoœci, o których mowa w ustawa 1 i 2, mog¹ podlegaæ ograniczeniom okreœlonym w ustawie;konstytucja
Obywatela polskiego nie mo¿na wydaliæ z kraju ani zakazaæ mu powrotu do kraju;konstytucja
Osoba, której pochodzenie polskie zosta³o stwierdzone zgodnie z ustaw¹, mo¿e osiedliæ siê na terytorium Rzeczypospolitej Polskiej na sta³e;konstytucja
Ka¿demu zapewnia siê wolnoœæ sumienia i religii;konstytucja
Wolnoœæ religii obejmuje wolnoœæ wyznawania lub przyjmowania religii wed³ug w³asnego wyboru oraz uzewnêtrzniania indywidualnie lub z innymi, publicznie lub prywatnie, swojej religii przez uprawianie kultu, modlitwê, uczestniczenie w obrzêdach, praktykowanie i nauczanie;konstytucja
Wolnoœæ religii obejmuje tak¿e posiadanie œwi¹tyñ i innych miejsc kultu w zale¿noœci od potrzeb ludzi wierz¹cych oraz prawo osób do korzystania z pomocy religijnej tam, gdzie siê znajduj¹;konstytucja
Rodzice maj¹ prawo do zapewnienia dzieciom wychowania i nauczania moralnego i religijnego zgodnie ze swoimi przekonaniami;konstytucja
Przepis art. 48 ustawa 1 stosuje siê odpowiednio;konstytucja
Religia koœcio³a lub innego zwi¹zku wyznaniowego o uregulowanej sytuacji prawnej mo¿e byæ przedmiotem nauczania w szkole, przy czym nie mo¿e byæ naruszona wolnoœæ sumienia i religii innych osób;konstytucja
Wolnoœæ uzewnêtrzniania religii mo¿e byæ ograniczona jedynie w drodze ustawy i tylko wtedy, gdy jest to konieczne do ochrony bezpieczeñstwa pañstwa, porz¹dku publicznego, zdrowia, moralnoœci lub wolnoœci i praw innych osób;konstytucja
Nikt nie mo¿e byæ zmuszany do uczestniczenia ani do nieuczestniczenia w praktykach religijnych;konstytucja
Nikt nie mo¿e byæ obowi¹zany przez organy w³adzy publicznej do ujawnienia swojego œwiatopogl¹du, przekonañ religijnych lub wyznania;konstytucja
Ka¿demu zapewnia siê wolnoœæ wyra¿ania swoich pogl¹dów oraz pozyskiwania i rozpowszechniania informacji;konstytucja
Cenzura prewencyjna œrodków spo³ecznego przekazu oraz koncesjonowanie prasy s¹ zakazane;konstytucja
Ustawa mo¿e wprowadziæ obowi¹zek uprzedniego uzyskania koncesji na prowadzenie stacji radiowej lub telewizyjnej;konstytucja
Ekstradycja obywatela polskiego jest zakazana, z wyj¹tkiem przypadków okreœlonych w ustawa 2 i 3;konstytucja
Ekstradycja obywatela polskiego mo¿e byæ dokonana na wniosek innego pañstwa lub s¹dowego organu miêdzynarodowego, je¿eli mo¿liwoœæ taka wynika z ratyfikowanej przez Rzeczpospolit¹ Polsk¹ umowy miêdzynarodowej lub ustawy wykonuj¹cej akt prawa stanowionego przez organizacjê miêdzynarodow¹, której Rzeczpospolita Polska jest cz³onkiem, pod warunkiem ¿e czyn objêty wnioskiem o ekstradycjê:1) zosta³ pope³niony poza terytorium Rzeczypospolitej Polskiej, oraz2) stanowi³ przestêpstwo wed³ug prawa Rzeczypospolitej Polskiej lub stanowi³by przestêpstwo wed³ug prawa Rzeczypospolitej Polskiej w razie pope³nienia na terytorium Rzeczypospolitej Polskiej, zarówno w czasie jego pope³nienia, jak i w chwili z³o¿enia wniosku;konstytucja
Nie wymaga spe³nienia warunków okreœlonych w ustawa 2 pkt 1 i 2 ekstradycja maj¹ca nast¹piæ na wniosek s¹dowego organu miêdzynarodowego powo³anego na podstawie ratyfikowanej przez Rzeczpospolit¹ Polsk¹ umowy miêdzynarodowej, w zwi¹zku z objêt¹ jurysdykcj¹ tego organu zbrodni¹ ludobójstwa, zbrodni¹ przeciwko ludzkoœci, zbrodni¹ wojenn¹ lub zbrodni¹ agresji;konstytucja
Ekstradycja jest zakazana, je¿eli dotyczy osoby podejrzanej o pope³nienie bez u¿ycia przemocy przestêpstwa z przyczyn politycznych lub jej dokonanie bêdzie naruszaæ wolnoœci i prawa cz³owieka i obywatela;konstytucja
W sprawie dopuszczalnoœci ekstradycji orzeka s¹d;konstytucja
Cudzoziemcy mog¹ korzystaæ z prawa azylu w Rzeczypospolitej Polskiej na zasadach okreœlonych w ustawie;konstytucja
Cudzoziemcowi, który w Rzeczypospolitej Polskiej poszukuje ochrony przed przeœladowaniem, mo¿e byæ przyznany status uchodŸcy zgodnie z wi¹¿¹cymi Rzeczpospolit¹ Polsk¹ umowami miêdzynarodowymi;konstytucja
Wolnoœci i prawa polityczneArt;konstytucja
Ka¿demu zapewnia siê wolnoœæ organizowania pokojowych zgromadzeñ i uczestniczenia w nich;konstytucja
Ograniczenie tej wolnoœci mo¿e okreœlaæ ustawa;konstytucja
Ka¿demu zapewnia siê wolnoœæ zrzeszania siê;konstytucja
Zakazane s¹ zrzeszenia, których cel lub dzia³alnoœæ s¹ sprzeczne z Konstytucj¹ lub ustaw¹;konstytucja
O odmowie rejestracji lub zakazie dzia³ania takiego zrzeszenia orzeka s¹d;konstytucja
Ustawa okreœla rodzaje zrzeszeñ podlegaj¹cych s¹dowej rejestracji, tryb tej rejestracji oraz formy nadzoru nad tymi zrzeszeniami;konstytucja
Zapewnia siê wolnoœæ zrzeszania siê w zwi¹zkach zawodowych, organizacjach spo³eczno-zawodowych rolników oraz w organizacjach pracodawców;konstytucja
Zwi¹zki zawodowe oraz pracodawcy i ich organizacje maj¹ prawo do rokowañ, w szczególnoœci w celu rozwi¹zywania sporów zbiorowych, oraz do zawierania uk³adów zbiorowych pracy i innych porozumieñ;konstytucja
Zwi¹zkom zawodowym przys³uguje prawo do organizowania strajków pracowniczych i innych form protestu w granicach okreœlonych w ustawie;konstytucja
Ze wzglêdu na dobro publiczne ustawa mo¿e ograniczyæ prowadzenie strajku lub zakazaæ go w odniesieniu do okreœlonych kategorii pracowników lub w okreœlonych dziedzinach;konstytucja
Zakres wolnoœci zrzeszania siê w zwi¹zkach zawodowych i organizacjach pracodawców oraz innych wolnoœci zwi¹zkowych mo¿e podlegaæ tylko takim ograniczeniom ustawowym, jakie s¹ dopuszczalne przez wi¹¿¹ce Rzeczpospolit¹ Polsk¹ umowy miêdzynarodowe;konstytucja
Obywatele polscy korzystaj¹cy z pe³ni praw publicznych maj¹ prawo dostêpu do s³u¿by publicznej na jednakowych zasadach;konstytucja
Obywatel ma prawo do uzyskiwania informacji o dzia³alnoœci organów w³adzy publicznej oraz osób pe³ni¹cych funkcje publiczne;konstytucja
Prawo to obejmuje równie¿ uzyskiwanie informacji o dzia³alnoœci organów samorz¹du gospodarczego i zawodowego, a tak¿e innych osób oraz jednostek organizacyjnych w zakresie, w jakim wykonuj¹ one zadania w³adzy publicznej i gospodaruj¹ mieniem komunalnym lub maj¹tkiem Skarbu Pañstwa;konstytucja
Prawo do uzyskiwania informacji obejmuje dostêp do dokumentów oraz wstêp na posiedzenia kolegialnych organów w³adzy publicznej pochodz¹cych z powszechnych wyborów, z mo¿liwoœci¹ rejestracji dŸwiêku lub obrazu;konstytucja
Ograniczenie prawa, o którym mowa w ustawa 1 i 2, mo¿e nast¹piæ wy³¹cznie ze wzglêdu na okreœlone w ustawach ochronê wolnoœci i praw innych osób i podmiotów gospodarczych oraz ochronê porz¹dku publicznego, bezpieczeñstwa lub wa¿nego interesu gospodarczego pañstwa;konstytucja
Tryb udzielania informacji, o których mowa w ustawa 1 i 2, okreœlaj¹ ustawy, a w odniesieniu do Sejmu i Senatu ich regulaminy;konstytucja
Obywatel polski ma prawo udzia³u w referendum oraz prawo wybierania Prezydenta Rzeczypospolitej, pos³ów, senatorów i przedstawicieli do organów samorz¹du terytorialnego, je¿eli najpóŸniej w dniu g³osowania koñczy 18 lat;konstytucja
Prawo udzia³u w referendum oraz prawo wybierania nie przys³uguje osobom, które prawomocnym orzeczeniem s¹dowym s¹ ubezw³asnowolnione lub pozbawione praw publicznych albo wyborczych;konstytucja
Ka¿dy ma prawo sk³adaæ petycje, wnioski i skargi w interesie publicznym, w³asnym lub innej osoby za jej zgod¹ do organów w³adzy publicznej oraz do organizacji i instytucji spo³ecznych w zwi¹zku z wykonywanymi przez nie zadaniami zleconymi z zakresu administracji publicznej;konstytucja
Tryb rozpatrywania petycji, wniosków i skarg okreœla ustawa;konstytucja
Wolnoœci i prawa ekonomiczne, socjalne i kulturalneArt;konstytucja
Ka¿dy ma prawo do w³asnoœci, innych praw maj¹tkowych oraz prawo dziedziczenia;konstytucja
W³asnoœæ, inne prawa maj¹tkowe oraz prawo dziedziczenia podlegaj¹ równej dla wszystkich ochronie prawnej;konstytucja
W³asnoœæ mo¿e byæ ograniczona tylko w drodze ustawy i tylko w zakresie, w jakim nie narusza ona istoty prawa w³asnoœci;konstytucja
Ka¿demu zapewnia siê wolnoœæ wyboru i wykonywania zawodu oraz wyboru miejsca pracy;konstytucja
Wyj¹tki okreœla ustawa;konstytucja
Obowi¹zek pracy mo¿e byæ na³o¿ony tylko przez ustawê;konstytucja
Sta³e zatrudnianie dzieci do lat 16 jest zakazane;konstytucja
Formy i charakter dopuszczalnego zatrudniania okreœla ustawa;konstytucja
Minimaln¹ wysokoœæ wynagrodzenia za pracê lub sposób ustalania tej wysokoœci okreœla ustawa;konstytucja
W³adze publiczne prowadz¹ politykê zmierzaj¹c¹ do pe³nego, produktywnego zatrudnienia poprzez realizowanie programów zwalczania bezrobocia, w tym organizowanie i wspieranie poradnictwa i szkolenia zawodowego oraz robót publicznych i prac interwencyjnych;konstytucja
Ka¿dy ma prawo do bezpiecznych i higienicznych warunków pracy;konstytucja
Sposób realizacji tego prawa oraz obowi¹zki pracodawcy okreœla ustawa;konstytucja
"Pracownik ma prawo do okreœlonych w ustawie dni wolnych od pracy i corocznych p³atnych urlopów; maksymalne normy czasu pracy okreœla ustawa";konstytucja
Obywatel ma prawo do zabezpieczenia spo³ecznego w razie niezdolnoœci do pracy ze wzglêdu na chorobê lub inwalidztwo oraz po osi¹gniêciu wieku emerytalnego;konstytucja
Zakres i formy zabezpieczenia spo³ecznego okreœla ustawa;konstytucja
Obywatel pozostaj¹cy bez pracy nie z w³asnej woli i nie maj¹cy innych œrodków utrzymania ma prawo do zabezpieczenia spo³ecznego, którego zakres i formy okreœla ustawa;konstytucja
